_id,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
65a8b83748613797baeec4d2,55041.35158,7.127128553,8.591923294,5.36,30122.47348,1071279.21,"0057 Jacob Coves Apt. 932\nLake Emily, VA 39465-6041"
65a8b83748613797baeec4d3,50218.70846,6.118808131,7.333554072,6.29,16810.78331,534305.1323,"039 Jordan Pike\nEmilyville, ID 27442"
65a8b83748613797baeec4d4,55909.3223,5.419562911,9.289854372,6,22355.23541,936368.9634,"66338 Novak Curve Suite 628\nTaylorborough, OK 87142-6766"
65a8b83748613797baeec4d5,74372.81021,5.500128573,6.593045604,2.07,39395.15118,1199193.831,"7167 Angela Park Suite 013\nMorrishaven, NH 66937-4811"
65a8b83748613797baeec4d6,78667.9046,5.470652207,7.780836693,4.1,27637.65655,1233220.009,"34964 Sara Fields Apt. 584\nPort Raymondville, MO 63585"
65a8b83748613797baeec4d7,78699.5151,5.652783637,6.756453856,3.01,22836.60757,1081150.125,"7585 Lynn Loop\nEast Judy, WV 73336"
65a8b83748613797baeec4d8,53128.18545,5.180664125,5.426902859,2.39,32947.71196,524712.7661,Unit 1388 Box 9350\nDPO AP 70848
65a8b83748613797baeec4d9,17796.63119,4.949557006,6.713905445,2.5,47162.18364,302355.836,"9932 Eric Circles\nLake Martha, WY 34611-6127"
65a8b83748613797baeec4da,58566.84936,6.579691453,5.034525352,2.17,39705.46496,1026817.4,"7896 Walker Spring\nLoriport, MH 72956"
65a8b83748613797baeec4db,75537.79451,7.845215914,7.555660721,6.3,32778.19534,1762214.68,"549 Darren Plaza\nLake Kevin, UT 27155"
65a8b83748613797baeec4dc,46147.05306,6.623332829,7.60683155,4.43,27161.12861,882057.1706,"90634 Michelle Valleys\nNorth Victoria, WV 99370"
65a8b83748613797baeec4dd,70421.47649,6.90708297,7.634318731,4.44,43183.92849,1744932.211,"580 Lara Neck Apt. 541\nDavidsonstad, ID 34638-9802"
65a8b83748613797baeec4de,62614.42062,5.499309697,7.440505218,6.32,26888.57956,1153871.47,"43087 Jerome Field\nWest Deborah, SD 49213"
65a8b83748613797baeec4df,66394.87159,7.069512154,7.204639709,3.18,39741.07751,1499988.88,"71956 Jenkins Fall\nBrooketown, PW 67485-0764"
65a8b83748613797baeec4e0,73946.85107,4.863154306,7.537182365,6.35,35261.12702,1109588.38,"8034 Pierce Prairie Suite 727\nDevonfurt, NE 33104-8027"
65a8b83748613797baeec4e1,69144.74571,7.296224497,5.928223473,3.22,19030.61549,980177.3051,Unit 8108 Box 5159\nDPO AP 04678
65a8b83748613797baeec4e2,77278.69703,6.238891015,6.919204136,2.13,21725.95429,1323952.027,"08639 Garcia Port\nAnthonybury, CT 17971"
65a8b83748613797baeec4e3,86754.19663,6.604439819,6.252454805,4.02,43017.44076,1662494.736,"91863 Curtis Point\nNew Richard, AK 99996-7554"
65a8b83748613797baeec4e4,74399.84098,6.382452912,7.252665322,6.36,41084.66282,1417819.74,"03819 Lee Junction Suite 046\nMooneyborough, WA 19656"
65a8b83748613797baeec4e5,49408.19834,5.825920476,5.831738973,3.32,26881.1306,549976.1456,"7796 Joseph Burg\nDanielsside, RI 70370"
65a8b83748613797baeec4e6,62279.79005,6.108449991,6.30611635,4.12,35263.65314,1054770.981,"173 Mendoza Land\nWest John, NJ 57690"
65a8b83748613797baeec4e7,73078.20409,5.92390639,6.445456691,3.32,54915.96178,1415647.553,"3288 Lee Pass\nSouth Julieton, PW 02759-4964"
65a8b83748613797baeec4e8,72942.70506,4.786222295,7.31988553,6.41,24377.90905,948788.2757,"86908 Marshall Port Suite 252\nScotttown, NM 69143"
65a8b83748613797baeec4e9,63819.62285,5.949839471,8.022469239,4.09,27825.57206,1159596.519,"951 Bryant Dale Suite 735\nLake Jacqueline, NH 95266"
65a8b83748613797baeec4ea,73265.44989,8.314761979,7.42559746,3.24,21030.96618,1547133.396,"00301 Bradshaw Avenue Suite 833\nSuzannefurt, IN 00654-8754"
65a8b83748613797baeec4eb,68488.13117,6.116111748,7.18252748,5.08,18267.95471,1186688.506,"84473 Ochoa Pines Apt. 808\nJamesport, KY 70207-2955"
65a8b83748613797baeec4ec,55193.85745,7.186120667,5.096917456,4.01,32537.81877,772111.9721,"13706 Morgan Turnpike Suite 378\nHohaven, NC 42699"
65a8b83748613797baeec4ed,77434.68924,6.309271353,5.219754029,3.06,36252.34068,1172730.156,"4872 Delgado Ramp\nNorth James, IA 36544"
65a8b83748613797baeec4ee,66158.88159,4.476429066,6.91174261,2.28,37098.74217,1111085.017,"73202 Christopher Tunnel\nNew Roberttown, MN 08925-1536"
65a8b83748613797baeec4ef,60502.90933,7.533380986,5.731824125,4.23,33579.63151,1022781.171,"8781 Olivia Port Apt. 225\nThompsonside, VT 22884"
65a8b83748613797baeec4f0,60910.89379,5.635466738,7.325973781,4.2,43347.804,1274474.546,"PSC 9354, Box 0703\nAPO AA 58696-1278"
65a8b83748613797baeec4f1,73931.97852,6.394107667,4.580839921,4.32,36543.06728,1213530.85,"271 Johnson Hills Apt. 001\nMcculloughfurt, FM 70847"
65a8b83748613797baeec4f2,59539.94845,6.018590243,7.007676166,5.43,58600.82715,1411730.477,"122 Russo Neck\nSouth Kevin, KY 20712-5282"
65a8b83748613797baeec4f3,56547.50719,5.435415183,6.515149877,3.13,37585.27458,858685.5659,"85225 Christopher Inlet Apt. 627\nWest Calebberg, KS 76460"
65a8b83748613797baeec4f4,65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821,"7125 Mullins Cliff\nMaryborough, WY 66971"
65a8b83748613797baeec4f5,74533.16208,6.67935313,5.919230725,4,49481.56581,1520234.229,"905 Lane Pines Suite 348\nBrownborough, DE 57196-3319"
65a8b83748613797baeec4f6,66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32,"61090 Griffith Ridges\nCraigstad, AK 28807-8602"
65a8b83748613797baeec4f7,74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53,"270 Jennifer Loop Suite 343\nSouth Jesse, ND 60570-1483"
65a8b83748613797baeec4f8,63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455,"10973 Clark Trafficway\nMeyersbury, LA 63237"
65a8b83748613797baeec4f9,83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521,"91733 Baker Orchard\nSouth Kyle, KS 37301"
65a8b83748613797baeec4fa,57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464,"024 William Course\nEast Charlotteview, DE 69073-3104"
65a8b83748613797baeec4fb,56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289,"PSC 4455, Box 3268\nAPO AP 45454"
65a8b83748613797baeec4fc,75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907,"562 Brown Junction Suite 282\nChristopherborough, KS 20719"
65a8b83748613797baeec4fd,70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531,USCGC Thompson\nFPO AA 13237-3887
65a8b83748613797baeec4fe,59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284,"65884 Johns Valley Apt. 621\nEthanbury, NY 07783"
65a8b83748613797baeec4ff,64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037,Unit 2139 Box 3667\nDPO AP 49517
65a8b83748613797baeec500,65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258,"253 Golden Island\nEast Donald, CT 91882"
65a8b83748613797baeec501,64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496,"4861 Steven Plains Suite 066\nPort Reginaland, MN 06152-7205"
65a8b83748613797baeec502,58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504,"5255 Rebecca Junctions Suite 240\nRoyshire, WI 85782-2398"
65a8b83748613797baeec503,68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901,"2833 Townsend Cliffs\nNew Tommy, MP 86130-3426"
65a8b83748613797baeec504,82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438,"708 Pena Ramp\nTerryburgh, CA 31572-1304"
65a8b83748613797baeec505,80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35,"8030 Ruiz Dale\nShermanchester, KY 56950-5684"
65a8b83748613797baeec506,66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933,Unit 3857 Box 9497\nDPO AE 92239
65a8b83748613797baeec507,64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007,"042 Mitchell Mountains\nAdamsview, OR 44424"
65a8b83748613797baeec508,65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886,"07420 Victoria Trail Apt. 904\nPort Kevinbury, OR 86759"
65a8b83748613797baeec509,74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379,"38449 Shaw Glen\nPattonside, TX 98415"
65a8b83748613797baeec50a,76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999,"82387 Hensley Bypass\nDanielmouth, ME 30791"
65a8b83748613797baeec50b,67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291,"02304 Brandon Stravenue Apt. 231\nCordovabury, ID 36688"
65a8b83748613797baeec50c,48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866,"2124 Garcia Viaduct\nNorth Kellytown, DC 30864"
65a8b83748613797baeec50d,72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102,"646 Nicholas Mall Apt. 058\nEast Danielle, OR 53708"
65a8b83748613797baeec50e,70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326,"874 Laura Throughway Suite 350\nPort Michaelberg, PW 94284-9448"
65a8b83748613797baeec50f,65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159,"7373 Hart Brooks Apt. 168\nEast Christianside, PR 72679-9159"
65a8b83748613797baeec510,95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344,"035 Mark Bridge\nWest Craig, MT 78649"
65a8b83748613797baeec511,73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006,"69600 Wilson Rue\nElizabethland, PW 17767-2884"
65a8b83748613797baeec512,66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913,"001 Steve Plaza\nJessicastad, UT 25190"
65a8b83748613797baeec513,75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551,"238 Anthony Drive\nAcostahaven, AS 62753-6637"
65a8b83748613797baeec514,65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764,"01818 Wilson Spurs\nWest Andreaton, SD 69568-7005"
65a8b83748613797baeec515,66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932,"95779 Walton Square\nBakershire, PR 49599"
65a8b83748613797baeec516,69284.25964,5.347447091,7.173425885,3.45,40282.72428,1169944.248,"124 Russell Mountains Apt. 591\nNorth Sharonfurt, OH 67836-4969"
65a8b83748613797baeec517,70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953,"73080 Veronica Turnpike Suite 991\nNew Debra, VA 61246"
65a8b83748613797baeec518,74218.48902,8.069721867,6.506374302,4.37,46770.66097,1783534.839,"106 Williams Well Apt. 657\nSamanthaview, PR 87811"
65a8b83748613797baeec519,63441.71465,6.471673727,7.064811136,3.22,48061.75267,1302933.248,Unit 3405 Box 4348\nDPO AP 68816-2990
65a8b83748613797baeec51a,57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612,"4007 Kimberly Crossing\nNathanielview, NC 72093-8287"
65a8b83748613797baeec51b,81543.77732,5.503923196,5.897052836,2.14,9816.300885,954114.544,Unit 5889 Box 7282\nDPO AE 41177-0399
65a8b83748613797baeec51c,78633.97376,5.465393231,7.531143012,3.24,43728.80349,1555320.5,"075 Andrea Green Suite 201\nJohnshire, KS 50389"
65a8b83748613797baeec51d,52202.85372,4.869306181,4.414380866,2.23,42165.81246,404976.3659,"6811 Spears Trail Suite 081\nEast Troy, MS 43910"
65a8b83748613797baeec51e,67980.38878,5.562938814,6.159705222,2.44,25909.0792,1073183.76,"69401 Danielle Motorway\nNew Dennis, IL 53971"
65a8b83748613797baeec51f,78568.44916,5.47573732,6.291600796,2.29,41016.64709,1422195.879,"2276 Riley Flats Suite 975\nJohnmouth, NH 39983"
65a8b83748613797baeec520,55472.65483,4.822147136,5.855972309,3.2,15353.95643,340605.2113,"91111 Crane Spur\nKathleenmouth, ME 43022-3191"
65a8b83748613797baeec521,67579.23479,5.973219004,7.754357545,6.32,21762.94969,1170959.526,"744 Hill Ports\nMooreside, MH 20945-2825"
65a8b83748613797baeec522,61456.1507,6.882954326,6.417572622,4.19,30821.41209,942838.1647,"019 Lisa Village Apt. 379\nMaxwellmouth, DE 26176"
65a8b83748613797baeec523,60815.39039,7.17012853,7.984335122,4.11,31233.64935,1401613.92,"50933 Barber Divide Suite 927\nJacksonborough, NE 46696-1788"
65a8b83748613797baeec524,51217.18116,5.384841407,8.776160034,3.41,47089.47508,1175504.486,USS Harrington\nFPO AE 12326
65a8b83748613797baeec525,63027.67471,4.855968121,5.580905937,2.3,35991.72064,608794.2467,"246 Michele Lock Suite 093\nSouth Michellemouth, VI 62800"
65a8b83748613797baeec526,62484.8553,6.496651466,7.322709774,5.13,26882.65179,946943.0362,"356 Madeline Locks Apt. 115\nKaitlinland, MS 49150-0243"
65a8b83748613797baeec527,73923.46627,7.005505785,7.135063347,6.04,58745.31203,1819900.637,"232 Allen Ridge\nWest Jasonview, CT 93021"
65a8b83748613797baeec528,79737.60976,7.315957927,6.611096005,2.17,28307.31433,1463130.273,"5042 Ricky Road\nNew Candice, MN 40661-8809"
65a8b83748613797baeec529,63890.47157,4.972306568,7.916386397,5.49,43416.49782,1252391.18,"60860 Griffin Streets Apt. 040\nEast Catherine, NH 18346"
65a8b83748613797baeec52a,67310.03695,7.193792989,7.760732555,5.28,43310.61243,1714445.175,"89002 Robert Square Suite 028\nPort Jennyside, CA 38546-6307"
65a8b83748613797baeec52b,73145.73022,4.096517243,7.254217433,3.18,49463.37888,1291759.393,"8533 Sparks Lodge\nNew Kevin, GA 98179"
65a8b83748613797baeec52c,86924.35877,6.832939699,7.738295553,6.32,28719.41089,1809154.289,"922 Mark Lodge\nMatthewton, ID 71131-3139"
65a8b83748613797baeec52d,74384.10563,7.411486571,5.164865476,2.3,17117.44367,1200539.361,"757 Sherri Shores Suite 744\nJesusfurt, OK 73052-4985"
65a8b83748613797baeec52e,67477.78818,6.623528293,7.91617166,5.1,29763.92535,1300265.21,"PSC 8479, Box 0952\nAPO AA 33741"
65a8b83748613797baeec52f,71202.95692,4.318869133,6.634954066,4.37,34207.39721,997448.7281,"5560 Michaela Spur Suite 730\nWest Charlottefurt, PA 00463"
65a8b83748613797baeec530,85845.3178,6.743652961,9.468766369,3.46,46477.67868,2152959.409,"255 Sosa Pines Suite 751\nWilsonview, MT 31615"
65a8b83748613797baeec531,72138.87048,7.163640935,8.485778263,5.45,35799.63827,1629983.847,"156 Conner Lane\nEast Brittany, MI 26733"
65a8b83748613797baeec532,44806.00516,4.494570528,4.725325117,3.1,57390.89007,497579.4466,"478 Vasquez Fort Apt. 346\nAliciaside, NV 37124-6408"
65a8b83748613797baeec533,67504.17846,5.329798509,5.894411949,4.36,37441.12054,890112.5493,"67610 Smith Knolls\nBrendaberg, MA 55188-7972"
65a8b83748613797baeec534,74706.10053,5.003327764,5.661064127,2.05,39680.60932,1064685.699,"504 Robertson Streets\nJamesshire, WA 56754"
65a8b83748613797baeec535,68898.34591,6.787648529,7.871352644,6.39,39515.57156,1530124.016,"777 Ross Crossroad\nKaiserville, RI 24445"
65a8b83748613797baeec536,58118.01816,8.137214471,5.650900286,4.36,35598.39044,1246246.828,"2418 Samantha Green Apt. 016\nPort Keithmouth, VT 62207-0408"
65a8b83748613797baeec537,77643.28309,6.070115922,5.381038359,4.45,35512.25505,1240754.932,"95957 Tara Hill Suite 428\nHuntland, KS 57002-5552"
65a8b83748613797baeec538,67769.82559,8.074693668,6.761631408,4.22,33254.60341,1760734.69,"26906 Simmons Underpass Suite 444\nPort Tinashire, DC 13101"
65a8b83748613797baeec539,74411.05989,5.534627544,7.210123361,6.44,43537.50295,1393746.76,"4930 James Flats\nNew Shannon, NJ 75829-8040"
65a8b83748613797baeec53a,73101.0788,4.104129923,8.920333221,4.35,29497.97129,1172385.898,"78212 Turner Ville Apt. 217\nWest Lauraberg, MP 47353-3682"
65a8b83748613797baeec53b,58708.41716,5.083861036,6.262825884,4.07,15969.92604,483986.109,"33410 Smith Summit\nWest Kimberlyberg, CT 49785-3758"
65a8b83748613797baeec53c,63876.05991,7.080219326,7.187432975,3.37,38052.87644,1388530.157,"49940 Ramirez Mission Suite 136\nWest Bryan, MD 95291-3904"
65a8b83748613797baeec53d,68343.15409,6.39244379,8.425112895,6.2,40653.87007,1721739.384,"4746 Morgan Forge\nDiaztown, VT 79978"
65a8b83748613797baeec53e,73064.97996,5.994062799,7.204368895,6.19,30699.33971,1276448.792,"5808 Burton Viaduct\nNorth Nicholasport, CO 32392-1208"
65a8b83748613797baeec53f,67367.26808,6.774710809,6.690894899,2.49,32547.27253,1161742.677,"8093 Lara Overpass Apt. 364\nLake Brookebury, NV 30264"
65a8b83748613797baeec540,66547.18175,6.350672042,5.305000412,2.04,16741.96499,786407.9451,"249 Susan Canyon\nNorth Jessica, ID 13412"
65a8b83748613797baeec541,73313.54538,6.414723236,8.492901229,4.46,37808.99667,1604920.973,"08091 Bush Course\nNew Michael, RI 47524-7511"
65a8b83748613797baeec542,47681.36173,6.890508224,7.788267986,5.13,50908.97891,1230149.137,"PSC 6933, Box 3805\nAPO AP 50576"
65a8b83748613797baeec543,67910.94913,6.445851907,6.675937268,4.32,31379.78297,1051644.554,"6798 Smith Junctions\nWolfeton, WY 86565-5079"
65a8b83748613797baeec544,69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614,"256 Sanchez Ports Apt. 057\nJohnmouth, PA 69763"
65a8b83748613797baeec545,67946.71468,5.403175673,5.671136343,3.21,35197.94257,1043483.915,"68672 Guzman Ridge\nClinefurt, WI 04078-6179"
65a8b83748613797baeec546,90975.11327,4.740683035,8.320351986,6.45,44426.21365,1544379.748,"4447 Steven River Suite 076\nWest Karenmouth, DC 61561-8593"
65a8b83748613797baeec547,61885.54644,5.405265969,6.91419577,3.22,48726.9513,1352135.967,USCGC Hess\nFPO AE 29193
65a8b83748613797baeec548,69401.84722,7.042354995,8.097044285,3.44,29293.07405,1505727.431,"0617 Neal Curve\nSouth Daniel, AS 09326"
65a8b83748613797baeec549,72969.12127,6.188575726,8.076943604,4.2,31755.72136,1416965.979,"412 Janet Radial Suite 115\nKariview, NY 37073-8343"
65a8b83748613797baeec54a,75582.45976,5.506473429,6.774986419,4.33,31946.30387,1046721.976,"9155 Kayla Station Suite 233\nNatalieborough, SC 99093-8399"
65a8b83748613797baeec54b,56241.22677,5.623087016,6.818670754,2.18,32745.36812,939040.0036,"3062 Donald Inlet Suite 642\nWest Matthew, GU 49340"
65a8b83748613797baeec54c,79412.83547,6.087360169,7.481321112,3.26,17568.73376,1383031.332,"764 Timothy Turnpike\nNorth Audreymouth, TX 02395"
65a8b83748613797baeec54d,79618.23685,4.566166101,6.669888411,3.49,29636.50711,1072503.238,"862 Ryan Flat\nWest Larryborough, WV 11517"
65a8b83748613797baeec54e,67019.07405,6.487943167,7.3313301,6.26,24997.10871,1134397.758,"378 Evans Crest\nEast Shelbystad, HI 23326"
65a8b83748613797baeec54f,56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508,"09897 Katherine Forge\nNorth Johnside, NC 01211"
65a8b83748613797baeec550,57077.5803,5.775467041,6.952026674,4.27,33393.9166,991892.3175,"2367 Noah Center\nNorth Dakotashire, PA 99619-0890"
65a8b83748613797baeec551,75954.81825,4.289916281,7.418750603,5.04,34467.7587,1057252.583,"19678 Noble Cove Suite 264\nSouth Elizabethfort, CO 13304-1647"
65a8b83748613797baeec552,52575.81517,7.133719417,7.173698882,4.06,41828.57962,1237224.859,"8803 Jackson Ramp\nSouth Thomasland, RI 09631-6361"
65a8b83748613797baeec553,63312.80567,6.139115452,8.199615241,4.41,43230.35216,1442632.541,"87629 Shawn Crossing\nNorth William, MN 71601-6188"
65a8b83748613797baeec554,82526.9621,6.453073406,7.748248953,4.46,43947.68026,1877402.32,"2574 Shannon Alley\nSouth Fred, OR 64217"
65a8b83748613797baeec555,73204.94213,6.640915863,7.311912321,6.4,35090.50081,1394518.415,"676 Jose Locks Apt. 415\nSouth Cynthia, SC 89264"
65a8b83748613797baeec556,56357.19314,5.707903109,5.240300887,3.25,38061.9983,953939.3299,"4160 Martinez Bridge Apt. 713\nWest Ann, MI 89447-0160"
65a8b83748613797baeec557,71316.62465,7.107767687,7.088992691,5.33,21651.69941,1219778.034,"26847 Weber Ports Apt. 767\nNorth Robinton, FM 43014"
65a8b83748613797baeec558,75046.8482,4.983084629,8.877240042,3,32468.03115,1287325.382,"PSC 8891, Box 6475\nAPO AP 28726-5123"
65a8b83748613797baeec559,84474.16006,6.970854746,5.935909326,2.47,38677.81515,1739893.555,"623 Jackson Road Apt. 492\nSarahville, NM 19973"
65a8b83748613797baeec55a,68162.68393,6.962206716,6.69735801,3.07,31843.87634,1213382.223,"0575 Edward Cliff\nMiguelmouth, NY 06408"
65a8b83748613797baeec55b,62784.33295,7.572350215,4.652717554,3.31,35122.38947,1007478.748,"6660 Alex Park\nBarkerfort, WY 52781"
65a8b83748613797baeec55c,67009.81567,6.849769937,7.610720856,3.22,39737.12261,1528756.126,"176 Parker Grove Apt. 591\nNicoleshire, MO 83183-5326"
65a8b83748613797baeec55d,67437.25036,6.767363237,6.703917223,2.05,29356.22337,1182459.772,"203 Amy Ford Suite 158\nKelleyfurt, LA 49990-9626"
65a8b83748613797baeec55e,65967.76931,6.847724976,7.777279444,3.14,35799.96255,1474546.762,"842 Jackson Parkway\nAngelabury, MI 68188-8699"
65a8b83748613797baeec55f,42816.30589,7.603999923,7.04524851,4.18,47457.66221,1078016.94,"5339 Charles Road Apt. 570\nEast Angelicastad, PR 36295-7649"
65a8b83748613797baeec560,83347.6697,5.468158427,5.475252653,3.14,48226.71893,1453381.624,"0647 Ramirez Hill\nNew Crystalport, AZ 33060"
65a8b83748613797baeec561,81699.88,5.47980183,6.476007341,4.41,39527.04856,1495012.965,"4233 Chase Fields\nEast Vanessabury, OR 85375-7861"
65a8b83748613797baeec562,56143.78866,4.580122446,6.668979774,4.04,45084.03666,714148.4148,"0606 Ricardo Drive\nWilliamton, GU 79243"
65a8b83748613797baeec563,59513.83492,4.885131771,5.57471435,3.18,44162.27921,894292.0474,"14157 Jones Parkway Suite 319\nNorth Haley, AK 18534"
